#Feature ID	taxonomy	Confidence
913861e8ed5a038b761880617c7839c9	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	0.9976908123987062
03008b5335446c225884160deb8ccb16	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Ornithinimicrobium	0.8848189460905157
16f4dddb0abb4eaca16639ef669cfb8c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9932724330466454
70f911f995a4f135b9e8e324f8062ff3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9997593746911914
520dc2366da20abc38afa6e4a3f2f30c	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9928359502102811
f1d0ba23415f1e8e9a98bd4f2f47ef17	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Paenisporosarcina	0.780052385537687
beef9d6e17e89a60adccdb8ca315a858	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__TM7a; s__uncultured_bacterium	0.8155991850079134
b99b1e0a31111045ef0330025d26e5a5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Croceicoccus	0.973822519747249
d1b844e8a61799d9a9fdbe6c095666a1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_sinesaloumensis	0.7380048033126679
ce2efd34ef80f39b116a64a69026b272	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9728263819001876
c43909cd2acec018d51d58e528a5d6ff	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Gramella	0.9999995956341036
8a892b5911a3a098b28bd54375e29d9f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9998270453480933
dc50079946ec73daa0256d106aa153cc	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae	0.9615746869715767
f746101b5d762fb0d3ddfabab5caaf0e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9995677972939214
0ce9fb29797009bfce05d48aad6ee6e5	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.9996648153560495
